frame_index,timestamp_ms,left_knee_2d,right_knee_2d,left_hip_2d,right_hip_2d,left_knee_3d,right_knee_3d,left_hip_3d,right_hip_3d,left_knee_2d_smoothed,right_knee_2d_smoothed
0,0,158.9646200516888,163.4717796888479,162.29515117262733,161.7557486739107,155.1143393434596,158.0058650205281,170.08553733350868,168.09702764753024,158.9646200516888,163.4717796888479
1,16,160.36548503471266,164.1997848967134,162.51455022149122,162.24230449780586,157.9421445772895,160.9205847251235,173.52648319172414,173.06539352042424,159.66505254320072,163.83578229278066
2,33,162.81722034746065,163.9152739691462,163.71755349712285,162.31742765254282,160.2323346665689,163.32271271855512,175.64619841729385,174.28078091457678,160.7157751446207,163.86227951823585
3,50,165.04049717805214,164.8078636459682,164.14192941568137,162.60809145833875,162.1292769828551,164.6808588627708,172.86245995147914,173.93078289104875,161.79695565297857,164.09867555016893
4,66,166.39294234342003,166.54065445867315,164.27491574304068,162.83977122804566,162.81899764962796,164.19614672789302,171.6977915564579,171.68636631943704,162.71615299106685,164.58707133186977
5,83,167.70481852974123,167.76945600280655,164.45390430295268,163.13399882932066,162.84796133792523,162.35509625405803,170.56133682044714,169.27614988262448,164.46419268667734,165.44660659466152
6,100,169.3798771489834,169.32553352600624,164.8610053351895,163.71167043982794,164.4439944998531,163.0660987429923,170.42177545277022,168.32319497242648,166.26707110953149,166.47175632052006
7,116,170.7398013618003,171.3905067137758,165.19298245896738,164.61752679566496,164.65964795239827,162.56255556344104,170.66683163669927,167.19425902998702,167.8515873123994,167.96680286944598
8,133,171.08299536747523,173.5306481843422,165.0806207559696,165.4823465765868,164.4794768104912,162.42817942117222,171.13693445680792,167.61980480508512,169.06008695028405,169.71135977712078
9,150,172.23566444064264,175.2119324866455,165.53146117387968,165.98966462625805,164.77729164885474,162.86831317937376,171.43075683700985,167.98506041965487,170.22863136972856,171.4456153827153
10,166,173.104125681033,175.99191353794376,165.82215143502916,166.36867456494616,164.60593214799295,163.18346802400052,171.33707859078896,168.5121550270018,171.30849279998694,173.0901068897427
11,183,173.50175764952542,176.58244691081245,165.97125040579448,166.6393933223315,164.39088240250058,163.26961177562373,171.33631340188148,168.46242167260016,172.1328689000953,174.54148956670394
12,200,173.8254491728019,177.1557867958723,166.0610419671653,166.9061170795294,164.17616287231183,162.99493135208095,170.34245061303383,166.31227251851502,172.74999846229565,175.69454558312322
13,216,174.07155894183734,177.9769001870234,166.22107124303093,167.2314164762536,163.7905246153274,162.21425729142857,169.95704805000074,165.6757908633137,173.34771117716804,176.58379598365946
14,233,174.30648620030553,179.025961807249,166.39323463013417,167.60567446026786,163.67934990471318,161.2283688455338,169.60614789265432,163.89193097934984,173.76187552910065,177.3466018477802
15,250,174.2898728890851,179.66126998878823,166.5206999488084,168.0927235069028,163.7929894441494,159.7432766295038,169.32748315909495,162.5339693292942,173.99902497071105,178.0804731379491
16,266,174.31383337190334,178.23230300872598,166.6947803824495,168.67666721548505,163.55924563709888,159.5141564671212,169.1322940137742,162.5586309681503,174.16144011518662,178.4104443575318
17,283,174.2782787139896,176.77253138915708,166.858751262623,169.3465274641813,163.09300432473054,158.91356865491332,169.52465867335349,162.64498461450486,174.25200602342417,178.33379327618874
18,300,174.25527183737282,177.37013710432583,166.9517214760256,169.64830851864235,163.14097463339616,158.74183906972414,169.64289385879428,162.81337824855376,174.28874860253126,178.21244065964922
19,316,174.4967093910663,178.50853609744942,167.10983164614262,169.52782310109478,162.91380158374048,158.17062130989768,169.00150299015044,161.09828292209195,174.32679324068346,178.1089555176893
20,333,174.56030759518268,178.60654599340353,167.26571697312067,169.86290944589845,162.2322704677779,158.1643903213357,169.11001851067746,160.79691046601195,174.3808801819029,177.8980107186124
21,350,174.91543563265844,179.5624163274365,167.443662155921,169.81702268596834,161.59008104203198,158.42252465869484,170.59080549890055,160.13125691820161,174.501200634054,178.1640333823545
22,366,174.870975151458,179.58288566088132,167.59978202916753,169.79914473509635,160.694442774073,159.60423238641707,171.54657702604212,160.12455419969632,174.61973992154768,178.7261042366993
23,383,174.96079917571592,179.57316917417015,167.68736566742677,169.74291782538506,160.22999783739021,160.83277356563312,175.9828449570747,159.2026758637809,174.76084538921629,179.1667106506682
24,400,175.06230221303232,179.2748751496172,167.82595452009843,169.79892061047335,159.85069381385023,161.9803781155667,179.5682298656741,158.54060347146572,174.87396395360946,179.31997846110173
25,416,175.00670012020268,179.23142555225354,167.98949023373612,169.83785153950598,160.74557273556653,163.17550307206068,175.91766676860098,156.2754278316269,174.96324245861348,179.44495437287173
26,433,174.08307888789213,179.5355210418017,167.3459393294426,170.2343739045119,158.507666665433,162.95435721769118,174.97793841138372,154.6824320836117,174.79677110966023,179.43957531574478
27,450,172.63738306652124,179.94783534335556,166.51032217348202,170.6807633962403,156.8333224664575,161.80047409711543,175.37953901756347,155.7501415137679,174.35005269267288,179.51256525223963
28,466,171.02264805110082,179.19768514507237,165.68725405193211,170.6782552601729,155.06584131862593,160.45529095444454,175.8497186703947,156.94863923273104,173.56242246774983,179.43746844642007
29,483,166.12962053551615,177.74434510915972,162.77566883844065,170.95539151666532,151.8672981612699,160.2855298644507,175.0512323148663,157.1473506178632,171.77588613224657,179.1313624383286
30,500,162.35726773874018,174.40812867745763,160.50596602799408,170.46263058786593,150.54978310519866,157.55793789059473,174.04227767683804,157.5863227671246,169.24599965595408,178.16670306336943
31,516,156.848795543433,171.66350543454558,157.90659165277503,169.7644843573151,140.20434225422696,152.88086539590526,169.8410341677063,160.1247319056749,165.79914298706225,176.59229994191818
32,533,153.16143598813036,169.2545336005427,156.037700114781,169.21717499823873,132.16822421309632,151.00890092081218,165.7197146517889,161.39833863296988,161.9039535713841,174.4536395933556
33,550,152.64603406173214,168.17842997196354,155.03593011846098,169.15716421739754,131.48709286280808,151.20599468992756,165.0687113045407,161.74994794472258,158.22863077351036,172.24978855873383
34,566,148.45936880326482,167.38861249935755,153.11720881060594,168.928696583713,127.1636067688604,151.25616867727257,162.8943255799334,162.49233670682403,154.69458042706012,170.1786420367734
35,583,146.28386836592964,166.93443524246211,152.00627940768513,168.9197639587975,128.3271242414346,151.63082705530942,163.12611714304663,163.02823711226253,151.479900552498,168.6839033497743
36,600,146.8544283442859,166.59451190123985,152.11288339386078,168.71362699343294,127.62275429438115,153.48461366330562,164.27567681175054,164.56994358460318,149.48102711266856,167.67010464311315
37,616,149.3278371654576,166.74723752242375,152.3126177689816,168.83317643425153,132.52038599172968,156.3766104028664,167.08439046457156,166.26048917492417,148.714307348134,167.16864542748937
38,633,151.7646570019926,166.8215806979594,152.6784194239714,168.4463577789656,137.5199246924343,159.19789679160385,169.31656562526717,167.85119716057886,148.5380319361861,166.89727557268853
39,650,153.06173399649612,167.21949927143876,152.88198914282296,168.80003805000413,140.67244099624725,160.42073064339792,170.12160483240828,168.8625477189779,149.45850497483235,166.8634529271048
40,666,155.2151624083448,167.29214722376005,153.02112336673312,168.9710883853128,141.56046822071193,160.5210548800688,170.2205077899454,169.28418692233856,151.2447637833154,166.93499532336438
41,683,156.4330002880684,167.25581299992294,152.9348846639984,168.98540353644884,142.85813963860247,160.0257994429062,170.34523693711975,169.24317214841295,153.16047817207192,167.06725554310097
42,700,158.66749219727535,167.1543776449367,153.1891641155212,168.84522043190753,144.04318834591476,160.57303334964692,170.81717222938997,169.4664606493364,155.02840917843545,167.14868356760357
43,716,160.2812462499407,167.18672618349785,153.51780322508174,169.4115156211102,146.75027477791662,161.47721941777397,170.99185679749434,169.5549893935836,156.7317270280251,167.22171266471125
44,733,161.84674306219412,167.2619415208969,154.00745331059198,169.31544758288976,150.86222074167026,161.44116063530777,170.66024866393812,168.29839778235493,158.4887288411647,167.2302011146029
